,20008,20024,20002,20032
1996-06-01,13.008746650617361,-5.905971400110843e-05,-1.0185656220684791e-05,0.0011661745128286327
1996-07-01,13.004705333936096,-5.9978051799802756e-05,0.0021287872647981487,-0.0011743918110642682
1996-08-01,13.00109928991129,-0.0005526809569769142,-0.0010712324879200708,-5.510385697959919e-06
1996-09-01,12.998159773945023,0.0014170631885974672,0.002139038248749614,-5.536347506662764e-06
1996-10-01,12.996119650830078,-4.808325665983659e-05,0.0,-5.562493219812836e-06
1996-11-01,12.994757252799182,0.0009552590442947206,0.002139038248749614,-5.588824587121621e-06
1996-12-01,12.994757252799182,0.0009728278348752895,0.0021253605377076212,-5.615343363629677e-06
1997-01-01,12.996119650830078,0.0009877405084246504,0.0010406534432352288,0.0011841260842508916
1997-02-01,12.998159773945023,0.0004918514615503966,-2.7995128847990713e-05,-1.41386620988726e-06
1997-03-01,12.999743663856417,-0.0005227256646112011,-2.7701214701636445e-05,-0.0023880532122948495
1997-04-01,13.001325049027272,0.001007405765799163,-0.0010696214834347018,0.0011854757092635282
1997-05-01,13.003579841414362,0.0010167385769008774,-1.739748802087604e-05,-0.0012069383910251474
1997-06-01,13.005604816794133,0.001023013689623653,-0.0010519145002945152,-1.3001656268940565e-05
1997-07-01,13.007849990615568,0.0010261673553113582,-0.0010421693503346319,0.0011968255743113332
1997-08-01,13.010537562222073,0.0005132153050801946,-0.0010357284498674346,0.0012055386088896114
1997-09-01,13.013663960480988,0.0015370160640379993,-1.0650075292772954e-06,-1.465683583390387e-06
1997-10-01,13.017447207454769,0.0015275899787656755,-1.0628127640188723e-06,0.001211387186296875
1997-11-01,13.022100955465934,0.001511248159587808,0.0020544385573124657,0.0
1997-12-01,13.028052697933088,0.0014882372802897947,0.0010135310410728238,0.0036297680505779084
1998-01-01,13.035715570678656,0.0004578981082570266,0.003033604744988594,-1.3127580388072602e-05
1998-02-01,13.043969309976317,0.00044799290779629075,0.0009570517358117314,0.0011852895252157936
1998-03-01,13.052155482360833,-5.5582571445000895e-05,0.0009335947265540767,-0.0012155543641778621
1998-04-01,13.061338675566555,0.0004348331332533206,0.001895605004236245,0.0011755381290168287
1998-05-01,13.071070083016778,0.0004242186003811099,0.0018332988781590842,0.002338707789331096
1998-06-01,13.081124629387732,0.000413242909541367,0.0017625214022221058,-5.0063552908596876e-05
1998-07-01,13.091491713737241,-7.503609378467502e-05,0.0007388743710130541,0.002273518878455505
1998-08-01,13.102364730897639,0.00039917225768348885,-0.00022916049480592449,-8.613589018580114e-05
1998-09-01,13.113524428737124,-8.070565812268171e-05,0.0006954758320283361,0.0010537450516103775
1998-10-01,13.125558268300848,0.0008492302948273078,-0.0011470257333989764,0.0010206517921815816
1998-11-01,13.138236726560619,0.0008237302789080303,-0.001993424652230402,0.0009851899816766263
1998-12-01,13.152116335553677,0.0007967423543799868,-0.0010384854679941213,0.0009476989396155489
1999-01-01,13.16733674304706,-0.00012878906460400685,-0.0010046417785325445,0.0009085206880730112
1999-02-01,13.18289387714436,-0.0001259148597636539,-0.0027061238806300736,-0.0023320084729263613
1999-03-01,13.198583403315737,-0.0010014845710930587,-0.001781996449857104,0.0009172868122604427
1999-04-01,13.21512485748564,0.0003327518570443999,-0.0008928840411819294,-0.001202453149010907
1999-05-01,13.232114241363448,-0.0005392758178537349,-0.0008793127382631383,0.000898820779470455
1999-06-01,13.249172224268024,0.0003281322274482079,0.0008310562241717889,-0.0011705533447479155
1999-07-01,13.266290546210971,-0.0009484547728533244,-0.0008708943077184728,-0.00113304113273216
1999-08-01,13.28380172328186,-8.624500822307368e-05,-1.7863822650454608e-05,0.0008958817466560021
1999-09-01,13.301011528831975,-8.466513283167387e-05,0.0016573284988155024,-0.001106964390316989
1999-10-01,13.318752191409718,0.0003274650380493682,-3.431371347772938e-05,-0.0010754497717790912
1999-11-01,13.336506546521239,0.0007238583565101209,0.0016189777283965867,-7.755326165792553e-05
1999-12-01,13.35506114152335,0.00029897185108218594,0.002400763676140727,-7.620513485129266e-05
2000-01-01,13.374210996846895,-0.0005073096276628775,0.001521844571236386,-7.489185757947325e-05
2000-02-01,13.393153582185892,0.0006889703319021834,0.0006709425622393184,-0.0010192387869381037
2000-03-01,13.41159424984596,-0.0005028782163964962,-0.0009331282234779081,-0.002878161542293256
2000-04-01,13.42984807715229,0.00028312396710461485,-0.00012229683453490736,0.0009146017866079603
2000-05-01,13.44763021018338,0.0006548459839450516,-0.00011963606235987356,-3.156216958544178e-05
2000-06-01,13.465101655604188,0.0006320021311054802,-0.00011706119088472633,-0.0009575653593447697
2000-07-01,13.48227308385299,0.00023599880347191515,-0.0016285733930256896,-2.1473447867847995e-05
2000-08-01,13.498880163556601,0.00022596454895662532,-0.0008336807485758158,-0.0009399713251614372
2000-09-01,13.51508091268999,0.0009427843814844294,-6.830367818189131e-05,-1.351652733383446e-05
2000-10-01,13.531156275605168,0.0012621650863096079,-0.0008065600652322757,0.0008985750814183291
2000-11-01,13.546977304351254,0.0005005894141056899,0.0014126427292158183,-2.0774532750067465e-05
2000-12-01,13.56255192157088,0.0008227067514656738,-7.740171061598744e-05,0.0008823481567379332
2001-01-01,13.57788768538523,-0.0002441704321753946,0.0006441441711722007,0.0008679389926218306
2001-02-01,13.592741936355138,-0.00023671440517780695,-8.759942086200567e-05,-3.941439856802731e-05
2001-03-01,13.607009283386935,-0.00022959476624606623,-0.0007929459782101134,-0.0009250562130578288
2001-04-01,13.620589965593805,0.0004305896918008756,-7.202434425934712e-05,0.001733821247727363
